m/z,A_APCKRAS_intensities,B_APC_intensities,G_APC_intensities,C_APC_intensities,D_APCKRAS_intensities,E_APCKRAS_intensities
89.023999999979,1114473.07743626,1422113.43041177,763661.498165339,1274805.29673601,1799880.75595098,777091.450461638
94.9799999999651,359096.153587565,310526.816844166,264347.551024298,635306.67656512,472807.892768283,423950.297472335
115.075999999918,196549.215373961,176689.017209401,146068.73199424,281260.030457697,269188.791786295,1260527.03018795
121.027999999904,160087.796521362,177664.227671581,100117.441558125,203496.032956196,226807.473961487,869502.009069913
124.005999999897,2727244.03045873,2213522.16087056,1213152.4713097,1797737.88640406,3126978.05284263,1353126.77028962
129.091999999893,146324.247743913,148309.435722267,113323.361898844,216256.160128157,216328.54839531,1101560.38797239
135.043999999922,136589.251081779,80755.9206487745,90810.0233671412,115597.224907897,102623.043005929,274772.423107782
137.023999999931,228134.294975007,114327.115940315,113163.468404933,220507.780334255,140506.44179139,312458.914461159
145.05999999997,459380.099757795,790137.431142364,746841.954587443,1271339.635626,591835.941251848,326136.603059306
153.018000000008,43347.1515245198,34479.9169815316,28523.3897071816,51046.6966271584,48634.039666266,51550.2361502696
157.086000000027,115579.345763274,138008.958569322,82455.2793136009,193439.448428886,167014.941918619,343060.065963296
157.122000000027,447726.18981838,469170.391147887,346167.700048236,631065.441275922,654764.929969331,1908386.90251138
165.040000000065,235782.038283231,224881.50217425,177939.080843723,381901.110156458,320682.642107279,1615517.73693635
168.988000000084,76027.5430362635,87006.1065103722,52011.598731394,95705.628798099,90261.0469291951,346440.630379538
171.102000000094,270848.541519979,466020.099857754,183624.934143342,445967.226210823,457162.945606819,852185.035056096
171.138000000094,423622.116984606,390116.985343461,307687.910948738,538515.324467061,543187.094782415,2100283.53431634
175.024000000113,2706475.60106111,2786082.09996883,2447718.83215256,4763542.89980856,3641411.22657663,701100.83154203
187.09600000017,152702.063668342,263268.053263878,96438.8890378795,227499.432231779,260950.094170305,523844.281109252
197.118000000218,98831.9492441698,147015.012751807,68111.1824755364,147363.33560176,154398.216599009,310103.585774978
201.112000000237,213790.853427192,292699.783252499,136792.033386985,346293.498239788,441916.199300909,1322068.60810204
233.15400000039,491526.271435751,453813.458838049,330368.353937146,560320.5641968,584403.41336543,3557793.54523423
239.058000000418,155382.224847222,166628.467157146,117455.484467582,245568.167985004,218127.038393323,1452844.7786253
241.216000000429,307996.400822341,516706.294402356,263600.847626186,534655.522952515,476342.160418044,788235.240190351
250.144000000471,118185.676382014,133529.702970005,75697.1214545671,112149.106075216,160605.422166528,929108.820692314
253.216000000486,1829029.80629286,5053645.32338507,1133296.74420961,2293629.55114682,2206200.60697034,6630155.41563921
257.238000000505,91007.8575581009,213020.951680076,64349.8419239328,141608.744572307,134134.918922472,469248.768036494
265.146000000543,142175.886871166,132485.741646993,96280.4022735631,191202.517153198,176313.494674854,344097.378005149
279.23200000061,3568327.17116093,8437845.35277529,1669024.74090788,3399259.20028286,4164287.87971376,20599909.7374582
280.234000000615,679483.18365873,1645963.8050084,319792.20923089,662657.681966074,816869.407903835,4080157.9733345
282.250000000625,1266846.93403003,3177661.76768815,907058.185707703,2100527.85230803,1995783.8452755,6673013.80041001
295.226000000687,148515.608267526,633599.248019059,89711.8515799304,145711.595690959,300671.73072233,1069872.83215224
297.152000000696,221541.119086306,237793.133946522,351842.708008925,296877.529014336,282257.092101773,367254.044371946
303.232000000725,5936693.95098511,12361299.6059477,4359601.55130007,8511569.38984706,12601684.184113,68814027.5106179
319.226000000801,382315.88466631,952022.168466842,489557.331243795,984914.792419059,953951.322168889,5592622.52802988
320.230000000806,89191.8387375011,211611.559196612,112892.232561657,218368.999090976,212988.141148426,1254850.58005276
332.266000000863,198975.818104253,275008.16053949,172314.063384426,418667.943701808,403494.761208956,1691382.08459284
333.278000000868,91900.6093774217,194465.271166961,140752.767226577,383708.595270768,181635.087590682,755758.46788164
337.310000000888,81258.1119420661,161060.388140199,84990.5021855943,209635.645244286,164260.715310794,635275.238722007
339.326000000897,68003.0215714831,120912.910615196,67959.119483671,152006.018499641,128104.133222494,437786.256571211
351.216000000954,61135.2321937514,122313.835744525,48275.848732803,99369.7224019151,124117.700500316,950018.822871266
363.208000001011,128924.704609544,115531.203616137,56927.8913798188,109926.396262703,190843.361623243,672447.941128947
363.228000001011,382447.038032976,349862.033065316,227512.553246688,395258.935984802,370522.151233494,630658.609253367
366.248000001026,132986.122421433,97557.1139892536,98338.7464982882,175347.907472864,158240.671306826,394523.505842257
391.260000001145,1666164.88987315,1268889.3086653,1138247.34289275,1993340.05928484,1846247.02936814,3656812.45462341
441.276000001384,278815.580507103,114400.402124607,116974.043554191,209896.538174801,233427.142976562,374595.692535555
465.304000001499,182452.721972934,354321.735074117,206313.629916845,401928.223229027,322312.161658745,943439.101129604
559.470000000599,150623.223071127,495026.83532835,61301.6446232298,142797.095218558,183988.278115555,2244559.65810354
563.504000000504,300893.846182352,958964.22071097,116896.25170079,310376.339849667,315917.462597045,2908130.41203904
564.50600000048,118537.762869725,394252.263083193,48141.6215117767,129026.635007863,128242.708709792,1126340.47792126
565.518000000456,119252.368824575,387568.673492811,75538.5157955487,195786.424614162,190512.687528774,1749170.86378462
585.487999999984,180928.765564087,599845.213620982,123741.291503668,296281.165923728,337836.863651597,4144504.84546826
586.48999999996,90471.9516760743,257229.443439595,70226.5797818071,155815.202169871,170799.738490246,1728624.85992338
587.501999999936,116853.4913418,355006.277697021,94610.0101544758,210327.765264114,237077.931388339,2564664.62263749
636.523999998777,77797.2164982286,227761.321682071,55798.3298855086,122711.913134286,106015.193594488,573151.677459932
637.537999998753,158607.737231862,447074.321719482,153938.127230842,345457.251139048,248060.8099765,974905.850216037
